"","B.cell","CAF","Endo.","Macrophage","Mal","NK","T.cell"
"7x15",0.319645897,0,0,0,0.126501525,0,0.553852579
"7x16",0,0.043683442,0,0,0.430745837,0.52557072,0
"7x17",0.485726949,0.153070309,0,0.053068237,0.308134504,0,0
"7x18",0.343053754,0.044401213,0,0,0.473597263,0,0.138947771
"8x13",0,0,0,0,0.234147088,0,0.765852912
"8x14",0,0,0,0.524930839,0,0,0.475069161
"8x15",0,0,0,0.601052388,0.398947612,0,0
"8x16",0,0,0,0.273395869,0.380340282,0.34626385,0
"8x17",1,0,0,0,0,0,0
"8x18",0,0.264172733,0.148902012,0.148275647,0.256718435,0.181931172,0
"8x19",0,0,0.217378273,0,0.483354344,0,0.299267383
"9x13",0.166149656,0.054310541,0.130975507,0.432402545,0,0.216161751,0
"9x14",0,0.065270864,0,0.604481342,0,0,0.330247795
"9x15",0.164709693,0,0,0.610993252,0,0,0.224297055
"9x16",0,0.034286739,0.182610792,0.532893984,0.250208485,0,0
"9x17",0.651472145,0.019893205,0.053500517,0,0,0.275134132,0
"9x18",0.29147861,0.642972496,0,0.065548894,0,0,0
"10x13",0.178153971,0.161343049,0,0.358725266,0,0.301777715,0
"10x15",0,0.176797684,0,0.640305143,0,0.182897173,0
"10x16",0,0.359378284,0,0.640621716,0,0,0
"10x17",0.179887099,0.345267361,0.040952686,0.313510872,0,0.120381982,0
"10x18",0,1,0,0,0,0,0
"11x12",0,0,0,0.497092512,0,0.502907488,0
"11x13",0.299472017,0.052392146,0,0.319672679,0,0.328463159,0
"11x14",0,0,0,0.268860045,0.731139955,0,0
"11x15",0,0,0,0,1,0,0
"11x16",0.094413262,0.189290524,0,0.385293407,0.331002806,0,0
"11x17",0,0.476410044,0,0.523589956,0,0,0
"12x12",0,0.122809799,0,0.328038653,0.549151549,0,0
"12x13",0,0,0,0.192292042,0.807707958,0,0
"12x14",0,0,0,0,1,0,0
"12x15",0,0,0,0.188725851,0.811274149,0,0
"12x16",0.183965121,0,0,0.593687462,0,0.222347417,0
"12x17",0,0.360564284,0,0.459516947,0,0.179918769,0
"13x11",0,0.181039946,0,0.058339127,0.760620927,0,0
"13x12",0,0,0,0,0.859414304,0,0.140585696
"13x13",0,0,0,0,1,0,0
"13x14",0,0,0,0.204325546,0.795674454,0,0
"13x15",0,0,0,0,1,0,0
"13x16",0,0,0,0.490699818,0.382444157,0,0.126856026
"13x17",0,0.456196935,0,0.329357764,0,0.141963649,0.072481652
"13x18",0,0.631343211,0,0.254184812,0.114471977,0,0
"14x7",0.038030638,0.016654869,0.148234964,0,0.797079529,0,0
"14x8",0,0,0,0,1,0,0
"14x9",0,0.513058025,0,0.486941975,0,0,0
"14x10",0,0,0,0,0.764069357,0,0.235930643
"14x11",0,0.050450773,0.017453172,0,0.757945409,0,0.174150646
"14x12",0,0,0,0,0.872821817,0,0.127178183
"14x13",0,0,0,0.048615951,0.951384049,0,0
"14x14",0,0,0,0.202724774,0.77745285,0.019822376,0
"14x15",0,0,0,0.194292231,0.805707769,0,0
"14x16",0.304201872,0,0.141468534,0.554329594,0,0,0
"14x17",0,0.500918819,0,0.280492504,0,0.218588676,0
"14x18",0,0.594633113,0.113359961,0.095243936,0,0.19676299,0
"15x5",0,0,0.06455364,0.33925127,0.515817062,0.080378027,0
"15x6",0,0.008102203,0.066522976,0.390450729,0.534924092,0,0
"15x7",0,0,0,0.444010894,0.555989106,0,0
"15x8",0,0,0.337355439,0.662644561,0,0,0
"15x9",0,0,0,0.297405382,0.591937099,0,0.110657519
"15x10",0,0,0,0,1,0,0
"15x11",0,0,0.022081614,0.026921316,0.859932814,0,0.091064255
"15x12",0,0,0,0.048555942,0.847385003,0,0.104059055
"15x13",0,0,0,0,1,0,0
"15x14",0,0,0,0,1,0,0
"15x15",0,0.010115224,0,0,0.989884776,0,0
"15x16",0,0,0,0.370383732,0.629616268,0,0
"15x17",0,0.49605797,0,0.320888032,0,0.183053998,0
"15x18",0.198903109,0.444247166,0,0,0.356849725,0,0
"16x3",0.105325411,0.220856973,0,0,0.333812331,0.340005286,0
"16x4",0,0,0,0.329134211,0.397223868,0.273641921,0
"16x5",0.069893748,0.056379829,0.169547699,0,0.704178724,0,0
"16x6",0,0,0,0.209554026,0.790445974,0,0
"16x7",0,0,0,0.290097724,0.709902276,0,0
"16x8",0,0.022817768,0,0.329095213,0.61138589,0.036701129,0
"16x9",0,0,0,0,1,0,0
"16x10",0,0,0,0,1,0,0
"16x11",0,0,0,0,1,0,0
"16x12",0,0,0,0.02191977,0.937699129,0,0.040381101
"16x13",0.015904717,0,0,0,0.984095283,0,0
"16x14",0.02491717,0,0,0,0.97508283,0,0
"16x15",0,0,0,0.044734507,0.955265493,0,0
"16x16",0,0,0,0.470266063,0.529733937,0,0
"16x17",0,0.547354266,0.13633185,0.316313885,0,0,0
"16x18",0,0.294142265,0,0.224203648,0.209267344,0.272386743,0
"16x19",0,0.471855164,0,0,0,0.528144836,0
"17x4",0,0,0,1,0,0,0
"17x5",0,0,0,0.422925137,0.411681146,0,0.165393717
"17x6",0,0,0,0.274219124,0.725780876,0,0
"17x7",0,0,0,0.225058865,0.696538313,0,0.078402822
"17x8",0,0,0,0.216602749,0.716661433,0,0.066735818
"17x9",0,0,0,0.04500138,0.95499862,0,0
"17x10",0,0,0,0,0.961972201,0,0.038027799
"17x11",0,0,0,0,1,0,0
"17x12",0,0,0,0,1,0,0
"17x13",0,0,0,0,1,0,0
"17x14",0,0,0,0,1,0,0
"17x15",0,0.021908807,0,0.022161299,0.768417108,0,0.187512786
"17x16",0,0.42461878,0.148852227,0.426528992,0,0,0
"17x17",0,0.765237325,0,0.190512883,0.044249792,0,0
"17x18",0,0.602011237,0.156314591,0,0.133640251,0.108033921,0
"17x19",0.149928508,0.31806908,0.189348883,0.036616777,0,0,0.306036752
"17x20",0,0.261438397,0,0.195640653,0,0.162723549,0.380197402
"17x21",0.265439968,0.257125262,0.073663844,0,0,0,0.403770925
"18x4",0,0,0.074760455,0.590216904,0.257728027,0,0.077294615
"18x5",0,0.113783053,0,0.388255278,0.497961669,0,0
"18x6",0,0,0,0,0.867470985,0,0.132529015
"18x7",0.019761026,0,0,0,0.980238974,0,0
"18x8",0,0,0,0,0.898683883,0,0.101316117
"18x9",0,0,0,0,1,0,0
"18x10",0,0,0,0,1,0,0
"18x11",0,0,0,0,1,0,0
"18x12",0.022557959,0.023194407,0,0,0.954247633,0,0
"18x13",0,0,0,0,1,0,0
"18x14",0,0,0,0,1,0,0
"18x15",0,0,0,0.334394763,0.665605237,0,0
"18x16",0,0.400371846,0.025649714,0.403917116,0,0.170061324,0
"18x17",0,1,0,0,0,0,0
"18x18",0.032557851,0.69783371,0.127609167,0.141999272,0,0,0
"18x19",0,0.406018696,0,0.121206641,0.123078474,0.099945514,0.249750675
"18x20",0.30333706,0.408896401,0,0,0,0,0.287766539
"18x21",0.436409574,0.213981476,0.076290862,0,0,0,0.273318088
"18x22",0,0.564909018,0.156991355,0.117944913,0,0.160154714,0
"18x23",0.264312131,0.598428156,0,0,0.137259712,0,0
"18x24",0,0.332293817,0.173940618,0.207378933,0,0.286386632,0
"19x4",0,0.42712946,0,0.365673799,1.23015e-10,0.20719674,0
"19x5",0,0,0,0.25288583,0.51695346,0,0.23016071
"19x6",0,0.039862558,0.106462593,0,0.853674849,0,0
"19x7",0,0,0,0,1,0,0
"19x8",0.019663663,0,0,0,0.927170515,0,0.053165822
"19x9",0,0.021964947,0,0,0.978035053,0,0
"19x10",0,0,0,0,1,0,0
"19x11",0,0,0,0,1,0,0
"19x12",0.032966591,0,0,0,0.967033409,0,0
"19x13",0,0,0,0,1,0,0
"19x14",0,0,0.092105238,0,0.907894762,0,0
"19x15",0,0,0,0.345875097,0.476118035,0,0.178006867
"19x16",0.102807666,0.324610087,0.049241973,0.313890087,0,0.209450187,0
"19x17",0,0.561700981,0,0.150522083,0.200855347,0.086921589,0
"19x18",0,0.604678153,0,0.194999197,0.105764021,0.09455863,0
"19x19",0,0.752807997,0,0.247192003,0,0,0
"19x20",0.325630777,0.472009622,0.202359601,0,0,0,0
"19x21",0.695801513,0,0,0,0,0,0.304198487
"19x22",0.516997884,0.483002116,0,0,0,0,0
"19x23",0.422469264,0.514959405,0,0.062571331,0,0,0
"19x24",0,0.467149452,0.221921399,0,0,0.310929149,0
"19x25",0.358216596,0,0.262341149,0.153619869,0.225822385,0,0
"19x26",0,0.642679383,0,0,0,0.357320617,0
"19x27",0.086781694,0.662084693,0,0,0,0.251133613,0
"19x28",0,0.862851946,0,0.137148054,0,0,0
"20x5",0,0,0.048955226,0.166092506,0.553327504,0.231624765,0
"20x6",0.047956401,0,0,0,0.952043599,0,0
"20x7",0,0,0,0,1,0,0
"20x8",0,0,0,0,0.906600262,0,0.093399738
"20x9",0,0.033357457,0,0,0.966642543,0,0
"20x10",0,0,0,0,1,0,0
"20x11",0.045859147,0,0,0,0.954140853,0,0
"20x12",0,0.12168645,0.080583438,0,0.797730112,0,0
"20x13",1,0,0,0,0,0,0
"20x14",0,0,0,0.383653806,0.616346194,0,0
"20x15",0,0,0.136551393,0.418981538,0.292072872,0,0.152394198
"20x16",0.118278557,0.446576174,0.204728471,0,0,0.230416798,0
"20x17",0,0.530444934,0.312909748,0.156645318,0,0,0
"20x18",0,0.484370207,0.220690172,0,0.106003477,0.131903019,0.057033125
"20x19",0,0.628963601,0,0.218813489,0,0,0.15222291
"20x20",0,0.500974088,0.160314475,0,0,0.338711437,0
"20x21",0.695664487,0,0,0,0,0.304335513,0
"20x22",0.746340867,0.253659133,0,0,0,0,0
"20x23",0.598304415,0.302745063,0,0,0,0,0.098950522
"20x24",0.418990596,0.27752579,0.059537936,0.098476355,0,0.145469323,0
"20x25",0.574371368,0.12413949,0,0.080824665,0,0.220664477,0
"20x26",0.463061349,0.498299013,0,0.038639638,0,0,0
"20x27",0.400797123,0.566671581,0,0.032531296,0,0,0
"20x28",0,0.67010706,0.096977253,0,0,0.232915687,0
"21x6",0.118921968,0,0,0,0.881078032,0,0
"21x7",0,0,0,0,0.912770058,0,0.087229942
"21x8",0,0,0,0,1,0,0
"21x9",0,0.017137297,0,0,0.982862703,0,0
"21x10",0,0,0,0,1,0,0
"21x11",0,0.04470247,0,0.073208333,0.882089197,0,0
"21x12",0,0,0,0,0.935986572,0.064013428,0
"21x13",0,0,0.313608875,0,0.686391125,0,0
"21x14",0.264670434,0.248170897,0,0.269771349,0,0,0.21738732
"21x15",0,0,0,0.63731939,0,0.36268061,0
"21x16",0,0.66354106,0,0.33645894,0,0,0
"21x17",0,0.56228913,0.155401815,0.074528511,0,0,0.207780544
"21x18",0,0.403352779,0.306641169,0.05994654,0,0.230059511,0
"21x19",0.25217778,0.401684126,0.131863618,0,0,0.214274476,0
"21x20",0.43438889,0.24251849,0,0,0,0.32309262,0
"21x21",0.658779523,0.11433602,0,0,0,0.226884457,0
"21x22",0.848253807,0,0.011266723,0,0,0.140479469,0
"21x23",0.880448075,0.119551925,0,0,0,0,0
"21x24",0.652229451,0.347770549,0,0,0,0,0
"21x25",0.718700231,0.155591306,0.125708463,0,0,0,0
"21x26",0.806215758,0.097489279,0,0.096294963,0,0,0
"21x27",0.660370779,0.339629221,0,0,0,0,0
"21x28",0.287760312,0.449280575,0,0,0,0,0.262959113
"22x6",0,0.064532212,0.101115161,0,0.747761731,0,0.086590896
"22x7",0,0,0.053301312,0.083510859,0.863187829,0,0
"22x8",0,0.050706221,0,0,0.949293779,0,0
"22x9",0,0,0,0,1,0,0
"22x10",0,0.070159307,0,0,0.929840693,0,0
"22x11",0,0,0.118390611,0,0.881609389,0,0
"22x12",0.152931022,0,0,0,0.847068978,0,0
"22x13",0.300216641,0.134936555,0.258326237,0.306520567,0,0,0
"22x14",0.24105519,0.400960465,0,0.23933009,0,0,0.118654255
"22x15",0,0.598674179,0,0.268974881,0,0.132350941,0
"22x16",0,1,0,0,0,0,0
"22x17",0,0.744736762,0,0,0,0.255263238,0
"22x18",0,0.603785923,0.064726593,0,0,0.2232109,0.108276584
"22x19",0.481004916,0.518995084,0,0,0,0,0
"22x20",0,0.444573893,0,0.233976636,0,0.321449472,0
"22x21",0.703244829,0.166796362,0.129958809,0,0,0,0
"22x22",0.933141493,0.007978553,0.058879954,0,0,0,0
"22x23",0.891449102,0.019963481,0.088587417,0,0,0,0
"22x24",0,0.358440673,0.378603669,0,0,0.262955659,0
"22x25",0.625836469,0.130642348,0.243521183,0,0,0,0
"22x26",1,0,0,0,0,0,0
"22x27",0.849664116,0,0,0,0,0.150335884,0
"23x7",0,0,0,0.120577767,0.840425776,0,0.038996457
"23x8",0,0.045411102,0,0,0.954588898,0,0
"23x9",0,0.064367503,0,0,0.935632497,0,0
"23x10",0,0,0,0,0.903233399,0,0.096766601
"23x11",0,0,0,0,1,0,0
"23x12",0,0,0,0.421787062,0.578212938,0,0
"23x13",0,0.196012598,0.086740326,0.301059646,0,0.091716663,0.324470766
"23x14",0,0.505520277,0,0.494479723,0,0,0
"23x15",0,0.502662006,0,0.497337994,0,0,0
"23x16",0.172807633,0,0.162548366,0.443757216,0.220886785,0,0
"23x17",0,0.537932259,0,0.247187192,0.091238247,0.123642302,0
"23x18",0,0.770029597,0,0.229970403,0,0,0
"23x19",0.341590164,0.441212145,0,0,0,0.217197691,0
"23x20",0.608521938,0.232592883,0,0,0,0,0.158885178
"23x21",1,0,0,0,0,0,0
"23x22",1,0,0,0,0,0,0
"23x23",0.701447489,0,0,0,0,0,0.298552511
"23x24",0,0,0.407244553,0,0,0,0.592755447
"23x25",0,0.371156771,0,0.18623387,0,0,0.442609359
"23x26",0,0.289415234,0.243175642,0,0,0.467409124,0
"24x8",0,0,0,0.079032175,0.771824528,0.113853084,0.035290213
"24x9",0,0,0,0,1,0,0
"24x10",0,0.148340427,0,0,0.638306912,0,0.213352661
"24x11",0,0,0,0,0.761090132,0,0.238909868
"24x12",0,0,0.177061861,0.526407004,0,0.296531135,0
"24x13",0,0,0,0,0,0,1
"24x14",0,0.337819415,0,0.377880535,0.093096706,0.191203344,0
"24x15",0,0.533058826,0,0.466941174,0,0,0
"24x16",0,0.550059903,0.165686159,0,0.152002559,0.13225138,0
"24x17",0,0.728015944,0,0.271984056,0,0,0
"24x18",0,0.574268535,0,0,0.08515749,0.241753438,0.098820538
"24x19",0,0.417229285,0.192846219,0,0,0.389924496,0
"24x20",0,0.322576192,0.179090134,0.181106276,0,0.317227398,0
"24x21",1,0,0,0,0,0,0
"24x22",1,0,0,0,0,0,0
"24x23",0.703840622,0.016078656,0,0,0,0,0.280080722
"24x24",0.620088989,0.040849397,0.028306702,0.030009293,0,0,0.280745619
"24x25",0.602756731,0,0,0,0,0.397243269,0
"25x9",0,0.023913149,0,0.275129235,0,0,0.700957616
"25x10",0,0,0.094636739,0.079503676,0.389000063,0,0.436859523
"25x11",0.13623233,0,0,0.277178273,0.586589397,0,0
"25x12",0.276108477,0,0,0.214938496,0.508953026,0,0
"25x13",0,0.168621619,0.248422666,0.109646181,0,0,0.473309534
"25x14",0,0.347048083,0,0.263831235,0,0.187169699,0.201950983
"25x15",0,0.544325063,0.175912777,0.27976216,0,0,0
"25x16",0.155109452,0.444834009,0,0,0.159103393,0,0.240953145
"25x17",0,0.553057703,0.313020359,0.133921938,0,0,0
"25x18",0,0.459193789,0.284669466,0,0,0.256136745,0
"25x19",0,0.407244742,0,0.113095402,0.119250032,0.360409824,0
"25x20",0,0.30846461,0.166422695,0.27308229,0,0.252030406,0
"25x21",1,0,0,0,0,0,0
"25x22",1,0,0,0,0,0,0
"25x23",0.785336139,0,0.020003178,0,0,0,0.194660682
"25x24",0.995943679,0.004056321,0,0,0,0,0
"26x11",0,0.4446292,0.063090253,0.209157,0,0,0.283123546
"26x12",0,1,0,0,0,0,0
"26x13",0.22041929,0.411364439,0,0.068965027,0,0,0.299251244
"26x14",0,0.394983361,0.220705428,0.097093684,0.102825069,0.184392458,0
"26x15",0,0.687425241,0.312574759,0,0,0,0
"26x16",0,0.743764911,0,0,0,0,0.256235089
"26x17",0.067422366,0.636607878,0.190405134,0,0,0.105564623,0
"26x18",0.062195919,0.703475074,0,0,0,0.234329007,0
"26x19",0,0.612136296,0.164016278,0,0,0.223847426,0
"26x20",0,0.622243652,0.377756348,0,0,0,0
"26x21",0.948886971,0,0.051113029,0,0,0,0
"26x22",0.997128443,0.002871557,0,0,0,0,0
"26x23",0.769309974,0,0,0,0.097366983,0,0.133323042
"27x14",0,0.051844929,0.386766621,0.128937402,0.179004683,0.253446365,0
"27x15",0,0.522592445,0,0,0,0.477407555,0
"27x17",0,0.511705735,0.265427422,0.135693872,0,0,0.08717297
"27x18",0.16531551,0.568035658,0,0.183793339,0,0,0.082855493
"27x19",0.274960554,0.443775733,0,0.243259941,0.038003772,0,0
"27x20",0.460841147,0.326526902,0.123095179,0,0,0.089536772,0
"27x21",0.810867121,0.083754268,0.105378612,0,0,0,0
"27x22",1,0,0,0,0,0,0
