,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,eL2/3,eL4,eL5,eL6
x34y50,0.16316311224683,0.157258206915311,0.0348033949581984,0,0,0.206353874133863,0,0,0,0.108327716237486,0.330093695508311
x534y50,0.715192767968151,0,0,0,0.0980294950753912,0,0.045322923508929,0.0624686116127498,0.0534826410543037,0,0.0255035607804758
x1034y50,0.63483610980262,0,0.0478481983543624,0,0.022180443734224,0,0,0.159654652325004,0,0.135480595783789,0
x1534y50,0.733500549916242,0,0,0,0.0512804746373371,0.0233446413005097,0.172093057747852,0,0,0,0.0197812763980594
x2034y50,0.88879614376681,0,0,0,0,0,0,0.11120385623319,0,0,0
x3034y50,0.0286302117131869,0.0177029144902066,0.304029742890079,0,0,0.504958449670661,0,0,0,0.144678681235867,0
x34y550,0.0436649966145393,0.0354299266664859,0.0200470274501154,0.709840041127731,0.0885415149203916,0.0317021994524072,0,0.0707742937683296,0,0,0
x534y550,0.034575652856438,0,0,0,0.588683966203254,0.376740380940308,0,0,0,0,0
x1534y550,0,0,0.0674133266893268,0,0,0.538711679316563,0.0145853130289622,0.0592268198380829,0,0.320062861127065,0
x2534y550,0.637625560388207,0,0.156116908877573,0,0,0.169176783099753,0,0,0,0,0.0370807476344674
x4534y550,0.67930832108719,0,0,0,0.191793442480461,0,0.0214337073231755,0.0299639771357404,0.0426026693706285,0,0.0348978826028049
x5534y550,0.413020328649784,0,0,0,0,0.402844267047211,0.184135404303005,0,0,0,0
x6034y550,0.0106180402814323,0,0.69465738600157,0,0,0.131973378752741,0,0,0,0.162751194964257,0
x7034y550,0.0794643365299836,0.00419026164339556,0.258015531557877,0.247313181380778,0,0,0,0.0981562253054829,0,0.312860463582482,0
x8034y550,0.130826272559178,0.580562681764471,0.0380021339906761,0,0,0.112999330857045,0,0,0,0,0.137609580828631
x8534y550,0.0496122566757899,0,0.0283586978190896,0,0,0.492296068806482,0.31696170452357,0,0.112771272175069,0,0
x9034y550,0,0.117346301809267,0.0805528145701254,0,0.393897238747943,0.390052773622454,0,0,0,0.0181508712502111,0
x9534y550,0,0,0,0,0.348745409147965,0.339892652233446,0.0554708025454415,0,0,0.255891136073147,0
x10034y550,0.433311802275423,0,0.137658504539411,0.245672391820329,0,0.0993151865350376,0,0,0.0132809933090652,0.0314578097936445,0.0393033117270907
x34y1050,0.0186884446228607,0.0762280170419933,0,0,0.381331884809245,0.508680545012343,0,0,0,0.0150711085135582,0
x1034y1050,0.48209539349711,0,0,0,0.0542237089326389,0,0.0112902032262475,0,0.156768574156025,0.295622120187979,0
x1534y1050,0,0.0903578764454001,0.0281167777792375,0,0,0.25579390986202,0,0,0,0.625731435913342,0
x2034y1050,0.637411681927814,0.0371551810604008,0,0.0831668246424596,0,0.0392363678447727,0,0.0280491381700636,0.0182969142474971,0.121075056591039,0.0356088355159538
x3034y1050,0.101251552253962,0,0.873084033758031,0,0,0.00971614942641737,0,0,0.0159482645615895,0,0
x3534y1050,0.695530911927013,0.0817504289102469,0,0,0.0708466199342677,0,0.0197025426691717,0,0.0342252825343591,0,0.097944214024942
x4534y1050,0,0.398916583182873,0,0,0.150131464438902,0.20685398651326,0.147608017736128,0,0,0,0.0964899481288373
x5034y1050,0.661347100430718,0,0,0,0,0.319629633598711,0,0,0.0190232659705714,0,0
x5534y1050,0.146935656275055,0,0.418694647467747,0,0.123325546324889,0.0844653595093253,0,0.134868954127047,0,0.0917098362959367,0
x7034y1050,0.044623284404235,0.170831917260496,0.07709564110172,0,0.0458102018369689,0.102776291222259,0.105535462086897,0,0,0.453327202087424,0
x7534y1050,0.267984373035184,0,0.0715885649261405,0,0,0.4539631156776,0.167020573560093,0,0,0.0394433728009823,0
x8034y1050,0.26979865251491,0.140621764065013,0.0896226104440228,0.0769159164055174,0,0.280069318803636,0,0,0,0.142971737766901,0
x8534y1050,0,0,0,0.940506454770581,0,0.0174460959354246,0,0.0420474492939946,0,0,0
x9034y1050,0.66815295769325,0,0,0.0981769564777074,0,0.233670085829042,0,0,0,0,0
x9534y1050,0.0146646179610954,0.169425655306038,0,0,0,0.809034859367111,0.00687486736575521,0,0,0,0
x10034y1050,0.497867132378213,0,0.287663869896034,0,0,0.188394686374322,0.0260743113514314,0,0,0,0
x10534y1050,0.386733944790978,0,0,0.571855603854834,0,0,0,0,0,0.0414104513541881,0
x34y1550,0.107942952639064,0,0,0.763814897445247,0.0752654852346922,0,0,0,0,0.0529766646809968,0
x534y1550,0,0,0.250880836299135,0.647691679360795,0.0183426512291997,0,0.0830848331108702,0,0,0,0
x1034y1550,0.485192942767986,0,0,0.167074862108531,0.0693746655515139,0,0.278357529571969,0,0,0,0
x2034y1550,0.0580791718723922,0.84113871557292,0,0,0.0944015972600831,0.0063805152946046,0,0,0,0,0
x4534y1550,0.323365088767364,0,0,0.286735810729974,0,0.102491223909321,0.287407876593341,0,0,0,0
x5034y1550,0.678809149532448,0,0.122541446280613,0,0.08531515141626,0.02537816671485,0.0879560860558287,0,0,0,0
x5534y1550,0.229222844248471,0,0,0.395943775001574,0,0.282019287776713,0.0928140929732421,0,0,0,0
x6034y1550,0.0122140453512085,0,0,0.726734786033622,0.190523537480697,0.053250609912755,0.0172770212217177,0,0,0,0
x6534y1550,0.38495189272549,0,0.0229583702551477,0.399280924674181,0.0119337899910109,0,0.180875022354171,0,0,0,0
x7034y1550,0,0,0.0506780159072999,0.590855046313108,0,0.358466937779592,0,0,0,0,0
x7534y1550,0.63271717533987,0,0,0.299254149844616,0,0.0680286748155136,0,0,0,0,0
x8034y1550,0.751558762309332,0.0538739588585643,0.0300995698602981,0.00820011884786574,0.0805983915570511,0,0.0756691985668889,0,0,0,0
x8534y1550,0,0,0.053901813271505,0.857366752322955,0.0253220393291764,0,0.0109222555527612,0.0091798131223784,0,0,0.0433073264012236
x9034y1550,0.127700658163971,0.02018940661106,0,0.586894471425679,0.102960763581468,0,0.130083362839993,0,0,0,0.0321713373778285
x9534y1550,0.266646736943005,0.00955688111431924,0.110266653894135,0.452957008054897,0.0540272755157848,0.106545444477859,0,0,0,0,0
x10034y1550,0,0.0650892895602292,0.065816331851174,0.581396111638354,0.145282639875252,0.0305569569561068,0.0366715186303132,0,0,0,0.07518715148857
x10534y1550,0,0,0,0.913680865815713,0.0731126018301214,0,0,0,0.0132065323541662,0,0
x34y2050,0.0105808361701252,0,0.0274329228616461,0.743977448603225,0.0456617785670103,0,0.172347013797994,0,0,0,0
x534y2050,0,0.168904080229105,0.128621715020844,0.702474204750052,0,0,0,0,0,0,0
x1034y2050,0.387733774595357,0,0,0.285958477036644,0,0.271156797906365,0.0551509504616336,0,0,0,0
x1534y2050,0,0,0.0261043421293926,0.312190480763578,0,0.615038351917358,0.0466668251896717,0,0,0,0
x5034y2050,0.470526578527287,0,0.0158819688225468,0.346643716465585,0.0416431283036144,0.0470638599539711,0.0486777920242833,0.0134061023418209,0,0,0.0161568535608916
x5534y2050,0.0241594637681679,0,0,0.899356185802601,0.0062828209972555,0,0.0702015294319756,0,0,0,0
x6034y2050,0.247706842019826,0.0106973973428151,0.123980765111522,0.529889236893195,0,0.0877257586326421,0,0,0,0,0
x6534y2050,0.508845900203813,2.91161481785656e-10,0,0.0363183458352358,0.0306578003834001,0,0.290771603780654,0,0.041388966852779,0,0.0920173826529569
x7034y2050,0,0,0.242156460468342,0.670328907699614,0,0,0,0.0279457051851185,0,0.0595689266469252,0
x7534y2050,0,0,0.0371757483538443,0.590939758690977,0.0587735805579621,0,0.0771801920736654,0,0.0927663230028944,0.143164397320657,0
x8034y2050,0.317045889366303,0,0.151180856788217,0.522899215029028,0.00887403881645142,0,0,0,0,0,0
x8534y2050,0.660200778539642,0,0,0.310412531178153,0,0,0.0216213149800939,0,0,0,0.00776537530211098
x9034y2050,0.00375352620031843,0,0,0.809422046711195,0.135808300707668,0,0.00312530723072769,0,0,0.0478908191500911,0
x9534y2050,0,0,0,0.92115816600105,0.0204820630943795,0,0.0505640666039712,0,0,0,0.00779570430059881
x10034y2050,0,0,0,0.838188313625863,0.109630493389362,0,0.0521811929847757,0,0,0,0
x10534y2050,0,0,0.0423908100875491,0.855903854236908,0.0369386302246275,0.0202916949553441,0.0444750104955712,0,0,0,0
x34y2550,0,0,0.0997464772149305,0.692076485869773,0,0.0410329194164429,0.102400651323939,0.0289526712935233,0,0,0.0357907948813914
x534y2550,0,0,0.0930374146275768,0.729154821183454,0.100058471032061,0,0.0777492931569084,0,0,0,0
x1034y2550,0.00833783283718052,0,0.0762577503228526,0.834303909198816,0,0.00462133656236352,0.0764791710787871,0,0,0,0
x1534y2550,0.0104195512645761,0,0,0.701374067865606,0.0636291037248431,0,0.224577277144975,0,0,0,0
x2034y2550,0,0,0,0.785345660512263,0.117756291088119,0.0314994767125095,0.012132932190159,0,0,0.0188750118321441,0.0343906276648047
x2534y2550,0.430114388915846,0.129528434287163,0,0.0380546957371525,0.0309628089419131,0,0.355889946324833,0,0,0.0154497257930927,0
x3034y2550,0.278066402731437,0.00932992611809672,0.228577147770747,0,0.392704988147371,0,0,0,0,0.0913215352323483,0
x4534y2550,0.0257124638057966,0.00481635958821387,0,0.890923431483866,0,0.0297412727266501,0,0.0488064723954733,0,0,0
x5034y2550,0.103230555565977,0,0.154917850411269,0.234191599962605,0,0.10999096312235,0.19419818110015,0.0360989910576285,0.0922048172207675,0,0.0751670415592528
x5534y2550,0.037226953889995,0,0,0.695918755672669,0.0276521482948636,0.061208688848375,0.104911153828393,0,0,0.0730822994657038,0
x6034y2550,0,0,0.199024225023632,0.6996153732006,0.0125399266154884,0,0.0888204751602793,0,0,0,0
x6534y2550,0,0.00527179741140864,0.0767096708848283,0.500348151015644,0.0592173359783001,0.0205708641197642,0.337882180590055,0,0,0,0
x7034y2550,0,0,0.20479550232795,0.624287579981002,0.0563529364865461,0.0632990468517892,0.0176112923956062,0,0,0.0336536419571071,0
x7534y2550,0.0579966271701061,0,0.0268606461331269,0.870546774658673,0,0,0.0445959520380945,0,0,0,0
x8034y2550,0,0,0,0.753601874954695,0.0382680362301198,0.00477641320704201,0.166736730363098,0,0,0.0366169452450452,0
x8534y2550,0,0.010057248277349,0,0.879079271082717,0.031515597335025,0,0.0489981058678393,0.0130214920612029,0,0,0.0173282853758672
x9034y2550,0,0,0.29291889227019,0.514123932885607,0.0994511736634366,0.0150945529563045,0,0,0,0.0458155431453587,0.0325959050791028
x9534y2550,0,0,0,0.931471668356593,0,0.0454292841434124,0,0,0,0.023099047499995,0
x10034y2550,0,0,0,0.931262571602726,0.0448664325732744,0,0.00450092344134522,0,0.0193700723826543,0,0
x10534y2550,0,0.0189404570740122,0.0935985973661418,0.680333931652535,0.1586328671954,0,0.0484941467119111,0,0,0,0
x34y3050,0,0,0.0346461258776886,0.28993350872567,0.18472691958474,0,0.199398438579068,0,0,0,0.291295007232835
x534y3050,0,0,0.0447847386808553,0.887961057089346,0.0254170892185084,0.00981546271373667,0.0320216522975534,0,0,0,0
x1034y3050,0.0134200385016183,0,0,0.924435944445343,0,0.0144399585898861,0,0.0142743127695627,0,0,0.0334297456935897
x1534y3050,0,0,0.0495793349166072,0.718670228082372,0,0,0.231750437001021,0,0,0,0
x2034y3050,0.00875097341497597,0.0120930534681718,0,0.895803072918628,0.00409837559384292,0,0.079254524604381,0,0,0,0
x2534y3050,0,0,0.287438891184676,0.546238941987615,0,0.0362287283318324,0.130093438495876,0,0,0,0
x3034y3050,0,0,0.146637344980594,0.715385616656056,0,0.0226443717544763,0.0717842675941985,0,0,0.0435483990146756,0
x3534y3050,0.0397966121857112,0,0,0.404965026071997,0,0.325835986568813,0.229402375173478,0,0,0,0
x4534y3050,0.0554755464269671,0,0.0218988892359265,0.839488443797674,0,0.00909256007409433,0.0740445604653387,0,0,0,0
x5034y3050,0.305118621262855,0,0,0.497486208850368,0,0.0242050274455264,0.17319014244125,0,0,0,0
x5534y3050,0,0,0.244730042784792,0.730622359698368,0,0.0246475975168406,0,0,0,0,0
x6034y3050,0.437432293001202,0,0,0.238242254267221,0.0121377497301546,0,0.28078042648457,0.0142636987171394,0.0171435777997134,0,0
x6534y3050,2.13810466736723e-10,0,0,0.778891320848255,0.0672174130255666,0.0476727840434476,0.0438553086208447,0,0.0234674686397191,0.0388957046083568,0
x7034y3050,0,0,0.0647041726839037,0.645373771665332,0.0604714410584776,0.0155952998077925,0.202777219323936,0,0,0,0.0110780954605584
x7534y3050,0.350504604453224,0,0,0.565087105649631,0.016048970267377,0,0.0683593196297672,0,0,0,0
x8034y3050,0,0,0.0944026375810579,0.535476329769268,0,0.060843961344847,0.268538914254238,0,0,0.0407381570505884,0
x8534y3050,0.0371368858241638,0,0.189665508481571,0.391937322666685,0.0491134852174869,0,0,0,0,0.0975434359372932,0.2346033618728
x9034y3050,0,0.133516273636377,0.136410534325444,0.17155567077822,0,0.0907659886831357,0.164502028251276,0,0,0.115097582773461,0.188151921552086
x9534y3050,0,0,0.285244489500902,0.148845367252803,0,0.242574560265962,0,0,0,0,0.323335582980332
x10034y3050,0.0950073951681149,0.0804793825255641,0,0.0966796108361987,0,0.191759615951103,0,0,0,0.163960695987728,0.372113299531291
x10534y3050,0.0029180253560384,0,0.238077483541262,0.0326220722621678,0,0.162197388330476,0,0,0,0,0.564185030510055
x34y3550,0,0,0.0545611226497041,0.0105096062932926,0,0,0.0786439200671592,0,0,0,0.856285350989844
x534y3550,0.435246486637913,0.0696208188941231,0,0.294758676992501,0.0133196222725177,0,0.187054395202946,0,0,0,0
x1034y3550,0,0,0,0.908355348060202,0.0775450265437211,0,0.0140996253960767,0,0,0,0
x1534y3550,0.185881459284475,0,0,0.583532551320021,0,0,0.230585989395504,0,0,0,0
x2034y3550,0,0,0,0.760924096762394,0.0381041570385195,0,0.200971746199086,0,0,0,0
x2534y3550,0.023467621170216,0,0,0.830418946383832,0,0.0367358905444518,0.0970083452330092,0,0,0.0123691966684911,0
x3034y3550,0.107279627813017,0,0,0.478403205962981,0,0,0.414317166224002,0,0,0,0
x3534y3550,0.484102387769176,0.336393677019836,0,0.00298339206662654,0.164102381286543,0,0,0,0,0,0.0124181618578183
x4534y3550,0,0.0900513733003877,0.0842494752085306,0.0262760787257441,0.0763360355113538,0.155914852825495,0.0746314271231147,0,0,0.102670582800466,0.389870174504908
x5034y3550,0,0.103216091508349,0,0,0,0.636336540751107,0.109389993029123,0,0.0208427341655519,0,0.130214640545869
x5534y3550,0.126220962844742,0,0,0.231435602170271,0,0,0.281080749210138,0,0,0,0.361262685774849
x6034y3550,0,0,0.148478248370789,0.152015386282507,0.164829687664444,0,0,0,0,0.161136614037343,0.373540063644917
x6534y3550,0.0460049733536557,0.185954883971779,0.0857154737563278,0.0586744523798734,0.0473327415245505,0,0.0745123836638488,0,0,0,0.501805091349965
x7034y3550,0,0.0761250280579549,0.0594766384561481,0.171204507505213,0.1516443274953,0,0,0,0,0,0.541549498485384
x7534y3550,0,0.20415565782225,0.152337488895406,0.0089693513167703,0.0793922412014559,0.187337381795099,0,0,0,0.0793727284411173,0.288435150527902
x8034y3550,0.210641762537295,0.081547396404899,0.137695396226144,0,0.0605840226977806,0,0,0,0,0.104000084714654,0.405531337419228
x8534y3550,0,0.193151650143771,0,0.037823436015006,0.194526215834565,0,0.00993225510116207,0,0,0.16274718501301,0.401819257892486
x9034y3550,0,0,0.0854584731642292,0,0,0,0.0340917970075603,0,0.115926024510566,0,0.764523705317645
x9534y3550,0,0.0301760769106143,0.0481671907826162,0,0,0.0860284889258529,0.0500679369214704,0,0,0.301294659200971,0.484265647258475
x10034y3550,0.078138913683759,0.207038354932782,0,0,0.14420147952427,0.184207492260016,0,0,0,0,0.386413759599174
x10534y3550,0,0.100587862549432,0.0302480227622755,0.0414577549639226,0,0.0593446097978797,0.109410653630727,0,0,0,0.658951096295763
x34y4050,0,0.0639833918885882,0,0.154814155486571,0,0.048775146895072,0.122929109293063,0,0,0.0770493569164897,0.532448839520216
x534y4050,0,0.174477887020223,0,0.0444304225663047,0.0495340345156666,0,0.166793868267542,0,0,0,0.564763787630263
x1034y4050,0.102048999675133,0.0668253447246435,0,0.375782487443567,0.0418276889120309,0,0.0766214550865127,0,0,0,0.336894024158112
x1534y4050,0.00714637892083185,0.105838103664992,0,0.217264185104062,0,0.0425665255490891,0.12301567866089,0,0,0.159272453346171,0.344896674753965
x2034y4050,0.0552542457943274,0,0,0.737798074976118,0.0542667252264756,0,0,0.0242548290011433,0,0.128426125001936,0
x2534y4050,0.182514974255839,0,0,0.678314292685685,0.0358635373976587,0,0.103307195660818,0,0,0,0
x3034y4050,0.0871553637155256,0.06978312171237,0,0.774294887269128,0,0,0.0687666273029767,0,0,0,0
x3534y4050,0.00625523605709753,0,0,0.739567359494588,0.128726832060731,0,0.102857281495687,0,0,0.0225932908918965,0
x4534y4050,0.0606713339991416,0,0.264627893284691,0,0,0,0,0,0,0,0.674700772716167
x5034y4050,0.0146046460016379,0.108285228101727,0.0601273535130221,0.0375747660272444,0,0.0680984122677446,0.0684110682361492,0,0,0,0.642898525852475
x5534y4050,0.162287836366869,0.078755109052628,0.124495671033752,0,0.0171801190674037,0,0.0645856094157973,0,0,0.145422576506145,0.407273078557405
x6034y4050,0,0.0179145026054245,0.438652712338821,0,0,0.0672549939908915,0.0301015701354192,0,0,0,0.446076220929444
x6534y4050,0,0.0427197013743741,0.0448725467815599,0,0,0.194403302334416,0.00613721191687479,0,0,0,0.711867237592775
x7034y4050,0,0.0340876765860222,0.0548833579152382,0.0166083820619987,0,0.463504193709956,0.0474014275598285,0,0,0.12897263316725,0.254542328999707
x7534y4050,0,0.177413397273971,0.173054671387025,0,0.063373349971221,0.0991649573516056,0,0,0,0,0.486993624016177
x8034y4050,0,0.123071363209724,0,0,0,0.178366409005424,0.110035773803116,0,0,0,0.588526453981736
x8534y4050,0,0,0.221260176255211,0.2388382002107,0,0,0.133421156850035,0,0,0.125050064524499,0.281430402159555
x9034y4050,0.358833230323657,0,0.0291302804185111,0.0154443747013661,0,0.0180310566835299,0,0,0,0.173826021712478,0.404735036160458
x9534y4050,0,0.202684702540888,0,0,0,0.137958977976545,0.0198652112504594,0,0,0,0.639491108232108
x10034y4050,0,0.181797957295787,0,0,0.11951532454307,0.0307051842121162,0,0,0,0.125118121902896,0.542863412046131
x10534y4050,0,0.172106244210206,0,0,0.232487843142993,0.107449743507728,0,0,0,0,0.487956169139073
x34y4550,0,0.161207614064906,0.0279748209758374,0.115074028323958,0.0309416345358523,0,0.0930842936779617,0,0,0.180913887604301,0.390803720817184
x534y4550,0,0.0478885157386964,0,0.00795464006183317,0,0.0937551849747851,0.115366200048218,0,0,0.199496702434632,0.535538756741835
x1034y4550,0,0.0297003452090455,0.133895548879538,0.246385774475922,0.096832808325606,0,0.190149334085505,0.21956736814092,0,0.0834688208834636,0
x1534y4550,0,0.0706949099302104,0.0399626665851771,0.0587256893403343,0,0.189841124773729,0.0744739699443411,0,0,0,0.566301639426208
x2034y4550,0,0.152837826308425,0,0.152684517299907,0.0502885814971264,0,0,0,0,0.175722477888789,0.468466597005752
x2534y4550,0,0.0384310011279624,0,0.264642021428778,0,0.0888722755809144,0.138336836726899,0,0,0.168341686725522,0.301376178409925
x3034y4550,0.435491788945465,0.0807095294285503,0,0.402277997347701,0,0,0.0815206842782839,0,0,0,0
x4534y4550,0,0.169085856979762,0,0.0352222216218608,0,0.206023065530041,0,0,0,0.0629981917551869,0.526670664113149
x5034y4550,0,0.112927767361981,0,0,0,0.173060171070808,0,0.0880557021860615,0,0.116562639899969,0.509393719481181
x5534y4550,0,0,0.0995311092556578,0,0,0.200343993540982,0,0,0,0,0.700124897203361
x6034y4550,0,0.0389029957577966,0.0942646875024827,0,0.0867476288858395,0.0593264496976655,0.0247674278298281,0,0,0,0.695990810326388
x7034y4550,0.256554542899179,0.0893820226353436,0.162575989989551,0,0,0,0,0,0,0.155238010452625,0.336249434023302
x8034y4550,0,0.118865481364321,0,0,0.45244891943402,0,0,0,0,0,0.428685599201659
x8534y4550,0.306611856389893,0.0260853283691984,0.231298882347034,0,0,0.0702495333168428,0.0531501292398679,0,0,0,0.312604270337163
x9034y4550,0,0.0363953209599465,0.172141117470625,0,0,0,0.0520878833528983,0,0,0.235160741728766,0.504214936487763
x9534y4550,0,0.0619944582764266,0,0.0323214012298825,0.103478554340389,0,0,0,0,0.146245217399333,0.655960368753969
x10034y4550,0,0.0398724180691689,0.0525639614104647,0,0,0.123924750351339,0,0,0,0,0.783638870169027
x10534y4550,0,0,0.0548893091157063,0,0,0.0518983249359631,0.0841254139331251,0,0,0.242015921146634,0.567071030868572
x34y5050,0,0.134868128155504,0,0.0235392456638792,0,0.0801599798195566,0.115000288781037,0,0,0,0.646432357580023
x534y5050,0,0.100421191856309,0,0,0,0.208140389402132,0.051429844582195,0,0,0.213635193931912,0.426373380227452
x1034y5050,0,0.219936997005228,0,0,0,0.0260063834714926,0.111649027439344,0,0.0791626173766505,0.24484652214492,0.318398452562365
x1534y5050,0,0,0.0439116572603772,0,0.0542646959910435,0,0.0339522122197695,0,0,0.222622545307044,0.645248889221766
x2034y5050,0,0.0972462266471161,0,0,0.145233707008054,0,0.282189461239384,0,0,0,0.475330605105446
x2534y5050,0,0.0294874499709264,0.0204743543717526,0.181582496665552,0,0,0.0403754802037087,0,0,0.194597945712125,0.533482273075935
x3034y5050,0,0.103193342311247,0,0.309606027487603,0,0,0.11643048776758,0,0,0.109297562352161,0.361472580081409
x3534y5050,0,0.0909534878577943,0.129916417757292,0,0,0.20686019856846,0,0,0,0,0.572269895816453
x4534y5050,0,0,0.189873898920611,0.0345811836762121,0.0918234992664306,0,0.0119487914890706,0,0,0,0.671772626647676
x5034y5050,0,0.188700084619502,0,0.0945914153813325,0,0.10129670773156,0,0,0,0.073861486076814,0.541550306190792
x5534y5050,0,0,0,0,0,0.179838789712556,0.13040284529447,0.121939471458294,0,0,0.567818893534679
x6034y5050,0.202795943014113,0,0.149837148244915,0,0.0617453073318997,0.130708310677486,0,0,0,0,0.454913290731587
x6534y5050,0,0,0,0.00278473975810319,0,0,0.101837966645611,0,0,0.20260997193093,0.692767321665355
x7034y5050,0,0,0.115663294074621,0.0975797891510174,0.11609756675062,0.086212926629169,0,0,0,0.175329798087542,0.40911662530703
x7534y5050,0.361374988968924,0.138062330074268,0,0,0.123505707509051,0.019271076232612,0,0,0,0,0.357785897215145
x8034y5050,0,0.0330559942579962,0,0.0381326575260986,0.65872458982089,0,0.0920440782084116,0,0,0,0.178042680186604
x8534y5050,0,0,0.43627020446341,0,0.101233707157734,0.0292040256589298,0,0,0.232482151381204,0,0.200809911338723
x9034y5050,0.00455086916176093,0.0229020445717514,0.151958962247729,0.00925821272751369,0,0.0930962383125712,0,0,0,0,0.718233672978674
x9534y5050,0,0.139267172466845,0.169083473142734,0.0789473043809169,0.0611537347727236,0,0.0397751321845993,0,0,0,0.511773183052181
x10034y5050,0.0508187732246452,0.102222025923456,0,0,0.07343085921304,0.0639707336343786,0.139871134827296,0,0.0745567325537542,0.244965375932058,0.250164364691372
x10534y5050,0.0630867852644346,0.0488465535418627,0,0,0,0.308505946394165,0,0,0.160713993595064,0.418846721204474,0
x34y5550,0,0,0.0783756626668703,0.0111845142905086,0,0,0.0119790188933091,0.122015702569022,0.155145658958668,0,0.621299442621622
x534y5550,0.167776752244751,0,0.270358694469981,0.00462554094703009,0,0,0,0,0.25997919269442,0,0.297259819643818
x1034y5550,0.356826300788543,0.151912679304459,0.293438203037336,0,0,0,0.0284016299483424,0,0,0.16942118692132,0
x1534y5550,0,0.0232860644692291,0.660907377418903,0,0,0,0.00205264603279214,0,0,0.174427159225552,0.139326752853524
x2034y5550,0.141937564368017,0.100266703827917,0,0,0,0,0.171891053889118,0.073057888661754,0,0.178548934407383,0.33429785484581
x2534y5550,0,0.168710954703557,0.0659720821321114,0.142814942769914,0.0809975647875138,0,0.0886988750185596,0,0,0,0.452805580588344
x3034y5550,0.158249920873761,0.0411210374852299,0,0.00973077217053961,0.0837820716886833,0,0.245897721346255,0,0,0.126458698557228,0.334759777878303
x3534y5550,0.010520675875435,0,0.0507609051446778,0.0911987303036507,0,0,0,0,0,0,0.847519688676236
x4534y5550,0,0,0.152594577438164,0.460203621967134,0.0332744238859475,0,0.0194736692077977,0,0,0.1245285656723,0.209925141828656
x5034y5550,0,0,0.203147836174501,0,0,0.253711947647864,0,0,0,0,0.543140216177635
x5534y5550,0,0.267340743395532,0.101801453595993,0,0,0,0,0,0,0,0.630857803008475
x6034y5550,0.488686417467653,0,0.120956142655634,0,0,0,0,0,0,0,0.390357439876712
x6534y5550,0,0.0378697779201946,0.0590300677430101,0,0.355856944377509,0,0.0205312115084383,0,0,0.17714038725411,0.349571611196738
